,close,high,label,low,open,sma_200,sma_50,volume
2014-08-25,46.1,46.36,EXCELLENT,45.7,46.22,46.45835,41.02820000000003,17548000.0
2014-08-26,48.17,48.2,EXCELLENT,46.04,46.1,46.474700000000006,41.23120000000003,27573100.0
2014-08-27,48.06,48.46,EXCELLENT,47.18,48.24,46.506750000000004,41.43200000000002,26110800.0
2014-08-28,49.43,49.88,EXCELLENT,47.86,47.98,46.53940000000001,41.64580000000003,35030200.0
2014-08-29,49.75,50.35,EXCELLENT,49.13,49.89,46.57865000000001,41.86280000000002,31912200.0
2014-09-02,51.02,51.34,EXCELLENT,49.9,50.02,46.62075000000001,42.09840000000003,28192200.0
2014-09-03,49.33,51.85,EXCELLENT,49.05,51.83,46.643950000000004,42.29460000000003,34366600.0
2014-09-04,50.24,50.86,EXCELLENT,49.22,49.69,46.675250000000005,42.52980000000002,24393700.0
2014-09-05,50.7,50.88,EXCELLENT,49.52,50.09,46.723050000000015,42.75460000000002,20226400.0
2014-09-08,52.0,52.68,VERY GOOD,51.68,51.8,46.77430000000001,42.965800000000016,30796500.0
2014-09-09,50.61,52.4,EXCELLENT,50.22,52.23,46.82210000000002,43.159400000000026,24998900.0
2014-09-10,52.91,53.33,VERY GOOD,51.85,52.11,46.87635000000002,43.398200000000024,37907700.0
2014-09-11,52.64,53.64,VERY GOOD,52.18,52.55,46.934550000000016,43.61000000000002,38055400.0
2014-09-12,52.11,52.82,VERY GOOD,52.02,52.55,46.99980000000002,43.81680000000002,22913800.0
2014-09-15,49.38,51.927,EXCELLENT,47.56,51.6,47.045800000000014,43.97780000000002,38300800.0
2014-09-16,50.83,50.91,EXCELLENT,48.4,48.7,47.09545000000002,44.18980000000002,26705400.0
2014-09-17,50.7,51.6,EXCELLENT,50.1612,50.97,47.14110000000002,44.455600000000025,22845800.0
2014-09-18,50.88,51.88,EXCELLENT,50.53,50.97,47.191600000000015,44.712000000000025,22456700.0
2014-09-19,53.0,53.0,VERY GOOD,50.18,50.78,47.24975000000001,45.01520000000002,38158100.0
2014-09-22,51.94,52.9,VERY GOOD,51.36,52.38,47.29100000000001,45.28740000000003,21687447.0
2014-09-23,52.17,52.56,VERY GOOD,51.02,51.46,47.32375000000001,45.56460000000003,19937154.0
2014-09-24,52.96,53.34,VERY GOOD,52.13,52.55,47.3638,45.86620000000003,17614893.0
2014-09-25,51.45,53.23,VERY GOOD,51.27,52.71,47.375350000000005,46.14660000000003,20997064.0
2014-09-26,51.89,52.61,VERY GOOD,51.7,51.97,47.37485000000001,46.447000000000024,14125293.0
2014-09-29,51.74,52.18,VERY GOOD,50.88,51.09,47.37185,46.740800000000014,15398439.0
2014-09-30,51.58,52.19,VERY GOOD,51.17,52.0,47.353100000000005,47.01140000000001,12289163.0
2014-10-01,50.06,51.29,EXCELLENT,49.15,51.08,47.3084,47.259600000000006,24724755.0
